Well Name	X [m]	Y [m]	Screen ID	Screen Elev. [m]	Obs. Time [day]	HEAD [m]
P1	648483.1228	3873353.093	1	314.424422	365.25	320
P12	648162.1503	3872432.348	1	314.0833537	365.25	318.4
P13	648212.3257	3872009.533	1	319.4183864	365.25	322.5
P14	648334.9195	3870789.55	1	328.6436903	365.25	331.1
P15	648006.2036	3872949.048	1	312.9185146	365.25	316.5
P16	648647.7034	3873112.415	1	315.4787148	365.25	319.8
P17	648791.5233	3873221.141	1	310.43971	365.25	316.8
P18	649656.4231	3872997.036	1	300.9800269	365.25	306.36
P19	649014.4049	3873685.229	1	304.8089252	365.25	308.8
P2	647889.1564	3869861.394	1	342.8290733	365.25	348.8
P20	649199.2378	3873946.678	1	298.813401	365.25	304.23
P21	650071.0401	3874449.342	1	292.8520652	365.25	291.81
P22	650138.419	3873737.009	1	297.5687998	365.25	300.5
P23	650121.4748	3873600.747	1	298.8812196	365.25	301.43
P24	649082.822	3874641.068	1	292.9958989	365.25	299.8
P25	649210.5769	3874598.563	1	293.3812659	365.25	299.5
P26	648971.112	3874834.804	1	297.0486072	365.25	298.81
P27	649280.7454	3875103.674	1	293.8573315	365.25	295.2
P28	649078.1061	3875141.722	1	293.4121911	365.25	296.36
P29	649166.071	3875347.326	1	293.8573315	365.25	295.08
P3	647580.7659	3869993.347	1	347.986015	365.25	347.6
P30	649101.3128	3875593.943	1	290.8775668	365.25	294.5
P31	650431.2743	3875973.558	1	274.8185918	365.25	279
P32	650460.4197	3876325.946	1	270.7251511	365.25	278.9
P33	650497.9399	3877380.146	1	260.1295195	365.25	268.03
P35	650340.4813	3870758.457	1	337.4857094	365.25	342.3
P36	650940.9681	3870769.092	1	339.727177	365.25	343.1
P37	650822.3555	3870236.068	1	349.0759098	365.25	361.1
P4	647275.3298	3870075.383	1	340.5804204	365.25	349.2
P7	646327.9586	3868315.949	1	375.5475967	365.25	379.77
