well_id,x,y,lon,lat,elevation_srtm_m,landcover_code,landcover_class
HYN-1981-001,646327.9586,3868315.949,-1.3975439112879857,34.94680203669201,408.0,40,Cropland
HYN-1981-002,647889.1564,3869861.394,-1.3801789669509725,34.96050580634332,384.0,40,Cropland
HYN-1981-003,647580.7659,3869993.347,-1.3835321921957717,34.961740214670996,381.0,40,Cropland
HYN-1981-004,647275.3298,3870075.383,-1.3868619925658379,34.96252415563837,378.0,40,Cropland
HYN-1981-005,650822.3555,3870236.068,-1.347995753933883,34.9634503480327,389.0,30,Grassland
HYN-1981-006,650340.4813,3870758.457,-1.3531776915025138,34.968230707576836,373.0,50,Built-up
HYN-1981-007,650940.9681,3870769.092,-1.346600488126267,34.968237203709485,373.0,40,Cropland
HYN-1981-008,648334.9195,3870789.55,-1.3751330875749692,34.968806865520285,364.0,10,Tree cover
HYN-1981-009,648212.3257,3872009.533,-1.3762584371786608,34.979821565757675,343.0,40,Cropland
HYN-1981-010,648162.1503,3872432.348,-1.3767327057178802,34.98364010092816,340.0,30,Grassland
HYN-1981-011,648006.2036,3872949.048,-1.378348792437976,34.9883203795542,334.0,40,Cropland
HYN-1981-012,649656.4231,3872997.036,-1.3602658361817543,34.988510114317535,329.0,40,Cropland
HYN-1981-013,648647.7034,3873112.415,-1.3712934497474618,34.989698865335264,329.0,40,Cropland
HYN-1981-014,648791.5233,3873221.141,-1.3696987705612038,34.99065775192149,328.0,40,Cropland
HYN-1981-015,648483.1228,3873353.093,-1.373053147950739,34.991892465805854,326.0,40,Cropland
HYN-1981-016,650121.4748,3873600.747,-1.3550633947936122,34.993882885286304,322.0,40,Cropland
HYN-1981-017,649014.4049,3873685.229,-1.3671744516166464,34.99480812501036,319.0,40,Cropland
HYN-1981-018,650138.419,3873737.009,-1.3548532146609562,34.995108597544814,314.0,40,Cropland
HYN-1981-019,649199.2378,3873946.678,-1.365102997793329,34.99713751135249,318.0,40,Cropland
HYN-1981-020,650071.0401,3874449.342,-1.355462766365941,35.0015393686723,310.0,10,Tree cover
HYN-1981-021,649210.5769,3874598.563,-1.3648618732117863,35.00301177231655,311.0,40,Cropland
HYN-1981-022,649082.822,3874641.068,-1.3662537635694754,35.00341375049473,311.0,40,Cropland
HYN-1981-023,648971.112,3874834.804,-1.3674428140307375,35.00517650920699,309.0,40,Cropland
HYN-1981-024,649280.7454,3875103.674,-1.3640025441859749,35.00755435598932,306.0,30,Grassland
HYN-1981-025,649078.1061,3875141.722,-1.3662156857586285,35.0079272192155,303.0,40,Cropland
HYN-1981-026,649166.071,3875347.326,-1.3652151240551227,35.009767503595064,302.0,40,Cropland
HYN-1981-027,649101.3128,3875593.943,-1.365880362079728,35.012000002518384,301.0,40,Cropland
HYN-1981-028,650431.2743,3875973.558,-1.3512409066994115,35.01522463440652,292.0,50,Built-up
HYN-1981-029,650460.4197,3876325.946,-1.3508578006060201,35.01839660435253,290.0,20,Shrubland
HYN-1981-030,650497.9399,3877380.146,-1.3502557847603227,35.027893215090174,279.0,40,Cropland
HYN-2012-001,648350.9804,3867664.648,-1.375513209349925,34.940637043323704,455.0,60,Bare/sparse vegetation
HYN-2012-002,650804.0616,3867794.155,-1.3486376625194283,34.941442267887645,482.0,40,Cropland
HYN-2012-003,646605.1228,3867956.216,-1.39457292918584,34.943519339757614,418.0,40,Cropland
HYN-2012-004,647975.9519,3868213.685,-1.3795210385724257,34.94564085163212,427.0,40,Cropland
HYN-2012-005,650582.8165,3868284.236,-1.3509710305658262,34.94589265491914,440.0,40,Cropland
HYN-2012-006,647910.6494,3868378.341,-1.3802067129682443,34.94713458199514,424.0,40,Cropland
HYN-2012-007,649067.7598,3869420.65,-1.3673532398074042,34.95636018000535,400.0,50,Built-up
HYN-2012-008,649067.2597,3869567.95,-1.3673323776381743,34.95768799133102,395.0,40,Cropland
HYN-2012-009,648993.4126,3869756.69,-1.3681071681138832,34.95940013085751,385.0,10,Tree cover
HYN-2012-010,647463.1391,3869887.823,-1.3848387852744026,34.96080617022095,382.0,40,Cropland
HYN-2012-011,648132.1244,3870266.49,-1.3774467030424946,34.96412177210706,371.0,10,Tree cover
HYN-2012-012,650045.3032,3870288.835,-1.3564944338962657,34.964041440560045,387.0,40,Cropland
HYN-2012-013,648346.8064,3870424.924,-1.3750678376098644,34.96551843823536,370.0,10,Tree cover
HYN-2012-014,647941.8513,3870496.2,-1.3794893248202218,34.96622017272648,367.0,40,Cropland
HYN-2012-015,650862.8086,3870508.746,-1.3475034611564616,34.96590216737211,382.0,10,Tree cover
