Année_hydro,month_fr,P_mm,month_num,month_en,T_C,hydro_year_start,date,I_annual,PET_mm,WB_surplus_mm
1981/82,Sep,0.0,9,Sep,22.7,1981,1981-09-01,85.45203147921131,102.2178171289837,0.0
1981/82,Oct,0.0,10,Oct,20.0,1981,1981-10-01,85.45203147921131,75.63510214242089,0.0
1981/82,Nov,0.0,11,Nov,15.2,1981,1981-11-01,85.45203147921131,39.868703013084755,0.0
1981/82,Dec,0.0,12,Dec,14.2,1981,1981-12-01,85.45203147921131,34.59739606369307,0.0
1981/82,Jan,0.5,1,Jan,11.8,1981,1982-01-01,85.45203147921131,24.988506214013032,0.0
1981/82,Fev,12.95,2,Feb,11.5,1981,1982-02-01,85.45203147921131,23.309228508339967,0.0
1981/82,Mars,7.11,3,Mar,13.6,1981,1982-03-01,85.45203147921131,38.695765422128886,0.0
1981/82,Avr,16.25,4,Apr,14.1,1981,1982-04-01,85.45203147921131,44.024560421801894,0.0
1981/82,Mai,36.84,5,May,17.7,1981,1982-05-01,85.45203147921131,74.96339912370371,0.0
1981/82,Juin,2.28,6,Jun,23.4,1981,1982-06-01,85.45203147921131,127.01219668047194,0.0
1981/82,Juill,1.02,7,Jul,25.7,1981,1982-07-01,85.45203147921131,154.39580945356553,0.0
1981/82,Aout,3.3,8,Aug,25.2,1981,1982-08-01,85.45203147921131,140.3091890424817,0.0
1982/83,Sep,0.76,9,Sep,22.5,1982,1982-09-01,76.90897935948709,103.19659303732853,0.0
1982/83,Oct,24.38,10,Oct,17.2,1982,1982-10-01,76.90897935948709,61.02726812058255,0.0
1982/83,Nov,109.47,11,Nov,13.9,1982,1982-11-01,76.90897935948709,37.364084086793554,72.10591591320645
1982/83,Dec,79.26,12,Dec,9.6,1982,1982-12-01,76.90897935948709,19.487030883353714,59.772969116646294
1982/83,Jan,0.0,1,Jan,8.4,1982,1983-01-01,76.90897935948709,15.845936092626253,0.0
1982/83,Fev,27.3,2,Feb,9.7,1982,1983-02-01,76.90897935948709,19.876557006283367,7.423442993716634
1982/83,Mars,13.0,3,Mar,13.9,1982,1983-03-01,76.90897935948709,44.70844346781396,0.0
1982/83,Avr,28.0,4,Apr,15.4,1982,1983-04-01,76.90897935948709,56.69374302872161,0.0
1982/83,Mai,7.61,5,May,17.6,1982,1983-05-01,76.90897935948709,79.19277091553427,0.0
