Layer 2
X	Y	Z	Top	Bot	Thick.	
646152.031	3881974.88	160.389999	185.389999	135.389999	50	
646456.063	3881974.88	112.038998	137.039993	87.038002	50.0019913	
646760.094	3881974.88	124.548	149.550003	99.5459976	50.0040054	
647064.156	3881974.88	141.740002	166.740005	116.739998	50.0000076	
647368.188	3881974.88	154.460003	205.960007	102.959999	103.000008	
647672.219	3881974.88	147.400997	205.899994	88.9020004	116.997993	
647976.25	3881974.88	141.599003	208.600006	74.5979996	134.002007	
648280.281	3881974.88	85.0304985	110.029999	60.0309982	49.9990005	
648584.344	3881974.88	70.2149982	95.2149963	45.2150002	49.9999962	
648888.375	3881974.88	55.1429987	80.1429977	30.1429996	49.9999981	
649192.406	3881974.88	39.8190002	64.8190002	14.8190002	50	
649496.469	3881974.88	24.2408506	49.2410011	-0.759299994	50.0003011	
649800.5	3881974.88	8.40200043	33.4020004	-16.5979996	50	
650104.531	3881974.88	-7.69100094	17.309	-32.6910019	50.0000019	
650408.594	3881974.88	-24.0558399	0.944320023	-49.0559998	50.0003198	
650712.625	3881974.88	-40.6809998	-15.6809998	-65.6809998	50	
651016.656	3881974.88	-57.5910015	-32.5909996	-82.5910034	50.0000038	
651320.719	3881974.88	-74.3410015	-49.3409996	-99.3410034	50.0000038	
651624.75	3881974.88	-86.8084984	-61.8069992	-111.809998	50.0029984	
651928.875	3881974.88	-89.5115013	-64.5130005	-114.510002	49.9970016	
646152.031	3881590.13	161.009995	186.009995	136.009995	50	
646456.063	3881590.13	122.2215	147.220001	97.2229996	49.9970016	
646760.094	3881590.13	121.190502	146.190002	96.1910019	49.9990005	
647064.156	3881590.13	175.850006	204.350006	147.350006	57	
647368.188	3881590.13	172.550003	204.050003	141.050003	63	
647672.219	3881590.13	168.820007	204.320007	133.320007	71	
647976.25	3881590.13	165.300003	206.300003	124.300003	82	
648280.281	3881590.13	163.419998	212.919998	113.919998	99	
648584.344	3881590.13	127.27	152.270004	102.269997	50.0000076	
648888.375	3881590.13	114.311501	139.309998	89.3130035	49.996994	
649192.406	3881590.13	100.040501	125.040001	75.0410004	49.9990005	
649496.469	3881590.13	84.4189987	109.419998	59.4179993	50.0019989	
649800.5	3881590.13	67.3570004	92.3570023	42.3569984	50.0000038	
650104.531	3881590.13	48.8160009	73.8160019	23.816	50.0000019	
650408.594	3881590.13	28.5917995	53.5919991	3.59159994	50.0003991	
650712.625	3881590.13	6.63100052	31.6310005	-18.3689995	50	
651016.656	3881590.13	-17.406049	7.5939002	-42.4059982	49.9998984	
651320.719	3881590.13	-43.6370001	-18.6369991	-68.637001	50.0000019	
651624.75	3881590.13	-72.3740005	-47.3740005	-97.3740005	50	
651928.875	3881590.13	-92.1500015	-67.1500015	-117.150002	50	
646152.031	3881231.25	159.889999	184.889999	134.889999	50	
646456.063	3881231.25	181.470001	206.470001	156.470001	50	
646760.094	3881231.25	141.889999	166.889999	116.889999	50	
647064.156	3881231.25	164.899998	205.899994	123.900002	81.9999924	
647368.188	3881231.25	176.210007	204.210007	148.210007	56	
647672.219	3881231.25	184.160004	204.660004	163.660004	41	
647976.25	3881231.25	188.130005	208.130005	168.130005	40	
648280.281	3881231.25	193.529999	213.529999	173.529999	40	
648584.344	3881231.25	201.75	226.75	176.75	50	
648888.375	3881231.25	179.479996	204.479996	154.479996	50	
649192.406	3881231.25	137.77	162.770004	112.769997	50.0000076	
649496.469	3881231.25	126.970001	151.970001	101.970001	50	
649800.5	3881231.25	130	155	105	50	
650104.531	3881231.25	132.389999	157.389999	107.389999	50	
650408.594	3881231.25	147.960003	172.960007	122.959999	50.0000076	
650712.625	3881231.25	144.440002	169.440002	119.440002	50	
651016.656	3881231.25	107.118496	132.119995	82.1169968	50.0029984	
651320.719	3881231.25	59.3270016	84.3270035	34.3269997	50.0000038	
651624.75	3881231.25	-0.379999161	24.6200008	-25.3799992	50	
651928.875	3881231.25	-65.4140015	-40.4140015	-90.4140015	50	
646152.031	3880852.63	193.410004	218.410004	168.410004	50	
646456.063	3880852.63	196.080002	221.080002	171.080002	50	
646760.094	3880852.63	197.289993	222.289993	172.289993	50	
647064.156	3880852.63	182.029999	207.029999	157.029999	50	
647368.188	3880852.63	180.619995	206.619995	154.619995	52	
647672.219	3880852.63	185.449997	205.949997	164.949997	41	
647976.25	3880852.63	190.779999	209.779999	171.779999	38	
648280.281	3880852.63	194.100006	213.100006	175.100006	38	
648584.344	3880852.63	198.850006	218.850006	178.850006	40	
648888.375	3880852.63	201.639999	221.139999	182.139999	39	
649192.406	3880852.63	185.710007	210.710007	160.710007	50	
649496.469	3880852.63	150.160004	175.160004	125.160004	50	
649800.5	3880852.63	139.639999	164.639999	114.639999	50	
650104.531	3880852.63	134.820004	159.820007	109.82	50.0000076	
650408.594	3880852.63	138.350002	163.350006	113.349998	50.0000076	
650712.625	3880852.63	148.73	173.729996	123.730003	49.9999924	
651016.656	3880852.63	128.399998	153.399994	103.400002	49.9999924	
651320.719	3880852.63	89.4015007	114.400002	64.4029999	49.9970016	
651624.75	3880852.63	40.0859995	65.0859985	15.0860004	49.9999981	
651928.875	3880852.63	-27.4359504	-2.43589997	-52.4360008	50.0001009	
646152.031	3880474	201.429993	226.429993	176.429993	50	
646456.063	3880474	214.059998	239.059998	189.059998	50	
646760.094	3880474	208.619995	233.619995	183.619995	50	
647064.156	3880474	202.910004	227.910004	177.910004	50	
647368.188	3880474	205.179993	230.179993	180.179993	50	
647672.219	3880474	194.270004	210.270004	178.270004	32	
647976.25	3880474	194.259995	210.259995	178.259995	32	
648280.281	3880474	196.210007	212.710007	179.710007	33	
648584.344	3880474	199.910004	217.910004	181.910004	36	
648888.375	3880474	203.130005	222.130005	184.130005	38	
649192.406	3880474	206.050003	226.550003	185.550003	41	
649496.469	3880474	207.320007	232.320007	182.320007	50	
649800.5	3880474	182.119995	207.119995	157.119995	50	
650104.531	3880474	152.130001	177.130005	127.129997	50.0000076	
650408.594	3880474	140.919998	165.919998	115.919998	50	
650712.625	3880474	141.740002	166.740005	116.739998	50.0000076	
651016.656	3880474	149.220001	174.220001	124.220001	50	
651320.719	3880474	118.231998	143.229996	93.2340012	49.9959946	
651624.75	3880474	78.5584984	103.559998	53.5569992	50.0029984	
651928.875	3880474	8.44499969	33.4449997	-16.5550003	50	
646152.031	3880095.5	211.479996	236.479996	186.479996	50	
646456.063	3880095.5	227.309998	252.309998	202.309998	50	
646760.094	3880095.5	217.630005	242.630005	192.630005	50	
647064.156	3880095.5	215.669998	240.669998	190.669998	50	
647368.188	3880095.5	217.149994	242.149994	192.149994	50	
647672.219	3880095.5	213.740005	238.740005	188.740005	50	
647976.25	3880095.5	202.100006	217.100006	187.100006	30	
648280.281	3880095.5	202.910004	218.910004	186.910004	32	
648584.344	3880095.5	204.110001	220.610001	187.610001	33	
648888.375	3880095.5	206.139999	223.639999	188.639999	35	
649192.406	3880095.5	207.860001	226.360001	189.360001	37	
649496.469	3880095.5	210.059998	231.059998	189.059998	42	
649800.5	3880095.5	205.360001	235.360001	175.360001	60	
650104.531	3880095.5	171.979996	196.979996	146.979996	50	
650408.594	3880095.5	156.389999	181.389999	131.389999	50	
650712.625	3880095.5	149.809998	174.809998	124.809998	50	
651016.656	3880095.5	151.210003	176.210007	126.209999	50.0000076	
651320.719	3880095.5	144.869999	169.869995	119.870003	49.9999924	
651624.75	3880095.5	114.040997	139.039993	89.0419998	49.9979935	
651928.875	3880095.5	42.0530005	67.0530014	17.0529995	50.0000019	
646152.031	3879717	218.960007	243.960007	193.960007	50	
646456.063	3879717	242.059998	267.059998	217.059998	50	
646760.094	3879717	242.950005	267.950012	217.949997	50.0000153	
647064.156	3879717	230.809998	255.809998	205.809998	50	
647368.188	3879717	229.970001	254.970001	204.970001	50	
647672.219	3879717	225.639999	250.639999	200.639999	50	
