Layer 2
X	Y	Z	Kx	Ky	Kz	
646152.031	3881974.88	160.389999	1E-11	1E-11	1E-11	
646456.063	3881974.88	112.038998	1E-11	1E-11	1E-11	
646760.094	3881974.88	124.548	1E-11	1E-11	1E-11	
647064.156	3881974.88	141.740002	1E-11	1E-11	1E-11	
647368.188	3881974.88	154.460003	1E-11	1E-11	1E-11	
647672.219	3881974.88	147.400997	1E-11	1E-11	1E-11	
647976.25	3881974.88	141.599003	1E-11	1E-11	1E-11	
648280.281	3881974.88	85.0304985	1E-11	1E-11	1E-11	
648584.344	3881974.88	70.2149982	1E-11	1E-11	1E-11	
648888.375	3881974.88	55.1429987	1E-11	1E-11	1E-11	
649192.406	3881974.88	39.8190002	1E-11	1E-11	1E-11	
649496.469	3881974.88	24.2408506	1E-11	1E-11	1E-11	
649800.5	3881974.88	8.40200043	1E-11	1E-11	1E-11	
650104.531	3881974.88	-7.69100094	1E-11	1E-11	1E-11	
650408.594	3881974.88	-24.0558399	1E-11	1E-11	1E-11	
650712.625	3881974.88	-40.6809998	1E-11	1E-11	1E-11	
651016.656	3881974.88	-57.5910015	1E-11	1E-11	1E-11	
651320.719	3881974.88	-74.3410015	1E-11	1E-11	1E-11	
651624.75	3881974.88	-86.8084984	1E-11	1E-11	1E-11	
651928.875	3881974.88	-89.5115013	1E-11	1E-11	1E-11	
646152.031	3881590.13	161.009995	1E-11	1E-11	1E-11	
646456.063	3881590.13	122.2215	1E-11	1E-11	1E-11	
646760.094	3881590.13	121.190502	1E-11	1E-11	1E-11	
647064.156	3881590.13	175.850006	1E-11	1E-11	1E-11	
647368.188	3881590.13	172.550003	1E-11	1E-11	1E-11	
647672.219	3881590.13	168.820007	1E-11	1E-11	1E-11	
647976.25	3881590.13	165.300003	1E-11	1E-11	1E-11	
648280.281	3881590.13	163.419998	1E-11	1E-11	1E-11	
648584.344	3881590.13	127.27	1E-11	1E-11	1E-11	
648888.375	3881590.13	114.311501	1E-11	1E-11	1E-11	
649192.406	3881590.13	100.040501	1E-11	1E-11	1E-11	
649496.469	3881590.13	84.4189987	1E-11	1E-11	1E-11	
649800.5	3881590.13	67.3570004	1E-11	1E-11	1E-11	
650104.531	3881590.13	48.8160009	1E-11	1E-11	1E-11	
650408.594	3881590.13	28.5917995	1E-11	1E-11	1E-11	
650712.625	3881590.13	6.63100052	1E-11	1E-11	1E-11	
651016.656	3881590.13	-17.406049	1E-11	1E-11	1E-11	
