Layer 2
X	Y	Z	Ss	Sy	PorEff.	PorTot.	
646152.031	3881974.88	160.389999	0.302655525	0.302655525	0.344235786	0.381119944	
646456.063	3881974.88	112.038998	0.302525537	0.302525537	0.343943903	0.381057917	
646760.094	3881974.88	124.548	0.302543497	0.302543497	0.343890835	0.381078326	
647064.156	3881974.88	141.740002	0.302557572	0.302557572	0.343844359	0.381095553	
647368.188	3881974.88	154.460003	0.302569588	0.302569588	0.343804471	0.381109342	
647672.219	3881974.88	147.400997	0.302577144	0.302577144	0.343771216	0.381120465	
647976.25	3881974.88	141.599003	0.302582667	0.302582667	0.343743297	0.38112902	
648280.281	3881974.88	85.0304985	0.302584782	0.302584782	0.343722239	0.381133563	
648584.344	3881974.88	70.2149982	0.302584243	0.302584243	0.343706498	0.38113572	
648888.375	3881974.88	55.1429987	0.30258059	0.30258059	0.343696726	0.381135078	
649192.406	3881974.88	39.8190002	0.302574481	0.302574481	0.343692602	0.381131186	
649496.469	3881974.88	24.2408506	0.302565164	0.302565164	0.343694578	0.381125043	
649800.5	3881974.88	8.40200043	0.302553239	0.302553239	0.343701015	0.381116269	
650104.531	3881974.88	-7.69100094	0.30253896	0.30253896	0.343713718	0.38110441	
650408.594	3881974.88	-24.0558399	0.302522234	0.302522234	0.343730582	0.381090095	
650712.625	3881974.88	-40.6809998	0.302503185	0.302503185	0.343752329	0.381073864	
651016.656	3881974.88	-57.5910015	0.302481664	0.302481664	0.343778533	0.381054792	
651320.719	3881974.88	-74.3410015	0.302459103	0.302459103	0.34380899	0.381034682	
651624.75	3881974.88	-86.8084984	0.302366306	0.302366306	0.343730575	0.380972542	
651928.875	3881974.88	-89.5115013	0.301866818	0.301866818	0.3429761	0.380661445	
646152.031	3881590.13	161.009995	0.300069324	0.300069324	0.340110051	0.380029284	
646456.063	3881590.13	122.2215	0.300066809	0.300066809	0.340101231	0.380028502	
646760.094	3881590.13	121.190502	0.300067853	0.300067853	0.340098346	0.380029655	
